MainBranch,RemoteWork,EdLevel,LearnCode,LearnCodeOnline,YearsCode,DevType,OrgSize,Country,WorkExp,Industry,generation,Employment_Status,Language_Category,Tech_Category
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,18,Management and Executive Roles,Small Organizations,United States of America,10.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development",Frontend Technologies
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,5,Software Development Roles,Small Organizations,United States of America,5.0,Financial Sector,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,12,Software Development Roles,Small Organizations,Germany,6.0,Technology and Information Services,Y,Employed,"Server-Side Development, Mobile Development, Web Development",Frontend Technologies
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,10,Software Development Roles,Small Organizations,Nepal,6.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,9,Software Development Roles,Large Organizations,Austria,9.0,Manufacturing Sector,Y,Employed,"Server-Side Development, Web Development",Frontend Technologies
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,10,Software Development Roles,Medium Organizations,India,3.0,Financial Sector,Z,Employed,"Server-Side Development, Mobile Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,12,Software Development Roles,Medium Organizations,Sweden,8.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,In-person,Degree,Online Courses / Bootcamps,Mixed Approaches,14,Software Development Roles,Medium Organizations,Netherlands,14.0,Technology and Information Services,Y,Employed,"Server-Side Development, Mobile Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,17,Software Development Roles,Small Organizations,United Kingdom of Great Britain and Northern Ireland,13.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development",Uncategorized
Non-developer,In-person,Degree,Online Courses / Bootcamps,Mixed Approaches,13,Management and Executive Roles,Small Organizations,Norway,2.0,Manufacturing Sector,Y,Employed,"Server-Side Development, Web Development",Frontend Technologies
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,9,Software Development Roles,Small Organizations,Nepal,5.0,Financial Sector,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,6,Software Development Roles,Medium Organizations,India,1.0,Technology and Information Services,Z,Employed,"Server-Side Development, Mobile Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Other,Books / Physical Media,Mixed Approaches,6,Software Development Roles,Medium Organizations,Poland,5.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development",JavaScript Libraries
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,26,Management and Executive Roles,Medium Organizations,United States of America,27.0,Healthcare and Education,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,In-person,Degree,Books / Physical Media,Mixed Approaches,4,"Education, Advocacy, and Sales Roles",Small Organizations,India,3.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,22,Software Development Roles,Medium Organizations,Portugal,18.0,Healthcare and Education,Y,Not employed,"Server-Side Development, Web Development",Frontend Technologies
Developer,Remote,Secondary Education,Books / Physical Media,Mixed Approaches,6,Management and Executive Roles,Medium Organizations,United States of America,5.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Some College,Books / Physical Media,Mixed Approaches,7,Software Development Roles,Small Organizations,Australia,5.0,Technology and Information Services,Z,Employed,"Server-Side Development, Web Development, System Programming",Backend Technologies
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,15,Software Development Roles,Medium Organizations,Brazil,13.0,Technology and Information Services,Y,Employed,Web Development,"Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,29,Software Development Roles,Small Organizations,United Kingdom of Great Britain and Northern Ireland,29.0,Technology and Information Services,X,Not employed,"Server-Side Development, Web Development",JavaScript Libraries
Developer,"Hybrid (some remote, some in-person)",Some College,Books / Physical Media,Mixed Approaches,3,Software Development Roles,Small Organizations,Uzbekistan,3.0,Technology and Information Services,Z,Not employed,"Server-Side Development, Web Development",Frontend Technologies
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,9,Software Development Roles,Medium Organizations,Greece,6.0,Technology and Information Services,Y,Employed,Web Development,"Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,6,Software Development Roles,Small Organizations,Germany,3.0,Healthcare and Education,Z,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,In-person,Degree,Online Courses / Bootcamps,Mixed Approaches,17,Software Development Roles,Medium Organizations,Denmark,6.0,Financial Sector,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Some College,Online Courses / Bootcamps,Mixed Approaches,6,Software Development Roles,Medium Organizations,United Kingdom of Great Britain and Northern Ireland,5.0,Healthcare and Education,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
